BPM,TIMING,STRING,FRET1,FRET2,FRET3,FRET4,STROKE,CHORD,FACE,NECK,CASTANETS,SHAKER,TAMBOURINE,MOTION,COLOR
105,1,4,3,8,7,2,1,0,0,0,1,1,1,0,0
105,1,2,3,8,7,7,0,0,0,0,0,0,0,0,0
105,0,2,3,8,7,7,1,0,0,0,0,1,0,0,0
105,0,4,3,8,7,7,0,0,0,0,0,0,0,0,0
105,1,4,3,8,7,7,1,36,0,0,1,1,0,0,0
105,1,1,3,8,7,4,0,0,0,0,0,0,0,0,0
105,0,1,3,8,7,4,0,0,0,0,0,1,0,0,0
105,0,1,3,8,7,4,0,0,0,0,0,0,0,0,0
105,1,1,3,8,7,4,1,0,0,0,1,1,1,0,0
105,1,4,2,8,7,4,0,0,0,0,0,0,0,0,0
105,0,4,2,8,7,4,1,0,0,0,0,1,0,0,0
105,0,2,2,8,7,2,0,0,0,0,0,0,0,0,0
105,1,2,2,8,7,2,1,22,0,0,1,1,0,0,0
105,1,1,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,1,2,5,7,2,0,0,0,0,0,1,0,0,0
105,0,1,2,5,7,2,0,0,0,0,0,0,0,0,0
105,1,1,2,5,7,2,1,0,0,0,1,1,1,0,0
105,1,4,7,5,7,2,0,0,0,0,0,0,0,0,0
105,0,4,7,5,7,2,1,0,0,0,0,1,0,0,0
105,0,2,7,5,7,2,0,0,0,0,0,0,0,0,0
105,1,2,7,5,7,2,1,47,0,0,1,1,0,0,0
105,1,3,7,5,7,2,0,0,0,0,0,0,0,0,0
105,0,3,7,5,7,2,0,0,0,0,0,1,0,0,0
105,0,3,7,5,7,2,0,0,0,0,0,0,0,0,0
105,1,3,7,5,7,2,0,0,0,0,1,1,1,0,0
105,1,3,7,5,7,2,0,0,0,0,0,0,0,0,0
105,0,3,7,5,7,2,1,0,0,0,0,1,0,0,0
105,0,4,7,5,7,2,0,0,0,0,0,0,0,0,0
105,1,4,7,5,7,2,1,26,0,0,1,1,0,0,0
105,1,2,7,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,7,5,7,2,0,0,0,0,0,1,0,0,0
105,0,2,7,5,7,2,0,0,0,0,0,0,0,0,0
105,1,2,7,5,7,2,0,0,0,0,1,1,1,0,0
105,1,2,7,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,7,5,7,2,1,0,0,0,0,1,0,0,0
105,0,4,7,8,7,2,0,0,0,0,0,0,0,0,0
105,1,4,7,8,7,2,1,26,0,0,1,1,0,0,0
105,1,1,7,8,7,7,0,0,0,0,0,0,0,0,0
105,0,1,7,8,7,7,1,0,0,0,0,1,0,0,0
105,0,2,7,8,7,7,0,0,0,0,0,0,0,0,0
105,1,2,7,8,7,7,1,0,0,0,1,1,1,0,0
105,1,1,7,8,7,7,0,0,0,0,0,0,0,0,0
105,0,1,7,8,7,7,1,0,0,0,0,1,0,0,0
105,0,4,3,8,7,7,0,0,0,0,0,0,0,0,0
105,1,4,3,8,7,7,1,36,0,0,1,1,0,0,0
105,1,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,1,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,3,3,8,7,5,0,0,0,0,1,1,1,0,0
105,1,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,1,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,3,3,8,7,5,0,36,0,0,1,1,0,0,0
105,1,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,1,0,0,0
105,0,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,3,3,8,7,5,0,0,0,0,1,1,1,0,0
105,1,3,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,3,3,8,7,5,1,0,0,0,0,1,0,0,0
105,0,1,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,1,3,8,7,5,1,1,0,0,1,1,0,0,0
105,1,4,2,8,7,5,0,0,0,0,0,0,0,0,0
105,0,4,2,8,7,5,0,0,0,0,0,1,0,0,0
105,0,4,2,8,7,5,0,0,0,0,0,0,0,0,0
105,1,4,2,8,7,5,0,0,0,0,1,1,1,0,0
105,1,4,2,8,7,5,0,0,0,0,0,0,0,0,0
105,0,4,2,8,7,5,1,0,0,0,0,1,0,0,0
105,0,2,2,8,7,2,0,0,0,0,0,0,0,0,0
105,1,2,2,8,7,2,1,1,0,0,1,1,0,0,0
105,1,1,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,1,2,3,7,2,1,0,0,0,0,1,0,0,0
105,0,4,2,3,7,2,0,0,0,0,0,0,0,0,0
105,1,4,2,3,7,2,1,0,0,0,1,1,1,0,0
105,1,2,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,2,2,3,7,2,1,0,0,0,0,1,0,0,0
105,0,4,2,3,7,2,0,0,0,0,0,0,0,0,0
105,1,4,2,3,7,2,1,36,0,0,1,1,0,0,0
105,1,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,3,7,2,0,0,0,0,0,1,0,0,0
105,0,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,1,3,2,3,7,2,0,0,0,0,1,1,1,0,0
105,1,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,3,7,2,1,0,0,0,0,1,0,0,0
105,0,2,2,3,4,2,0,0,0,0,0,0,0,0,0
105,1,2,2,3,4,2,1,36,0,0,1,1,0,0,0
105,1,3,2,5,4,2,0,0,0,0,0,0,0,0,0
105,0,3,2,5,4,2,0,0,0,0,0,1,0,0,0
105,0,3,2,5,4,2,0,0,0,0,0,0,0,0,0
105,1,3,2,5,4,2,1,0,0,0,1,1,1,0,0
105,1,3,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,5,7,2,1,0,0,0,0,1,0,0,0
105,0,2,2,5,4,2,0,0,0,0,0,0,0,0,0
105,1,2,2,5,4,2,1,47,0,0,1,1,0,0,0
105,1,4,2,5,4,2,0,0,0,0,0,0,0,0,0
105,0,4,2,5,4,2,0,0,0,0,0,1,0,0,0
105,0,4,2,5,4,2,0,0,0,0,0,0,0,0,0
105,1,4,2,5,4,2,1,0,0,0,1,1,1,0,0
105,1,2,2,5,4,2,0,0,0,0,0,0,0,0,0
105,0,2,2,5,4,2,1,0,0,0,0,1,0,0,0
105,0,4,2,8,4,2,0,0,0,0,0,0,0,0,0
105,1,4,2,8,4,2,1,47,0,0,1,1,0,0,0
105,1,2,2,8,4,2,0,0,0,0,0,0,0,0,0
105,0,2,2,8,4,2,1,0,0,0,0,1,0,0,0
105,0,4,2,5,4,2,0,0,0,0,0,0,0,0,0
105,1,4,2,5,4,2,1,0,0,0,1,1,1,0,0
105,1,1,2,5,4,2,0,0,0,0,0,0,0,0,0
105,0,1,2,5,4,2,1,0,0,0,0,1,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,1,3,5,5,4,2,1,36,0,0,1,1,0,0,0
105,1,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,1,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,1,3,5,5,4,2,0,0,0,0,1,1,1,0,0
105,1,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,1,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,1,3,5,5,4,2,0,36,0,0,1,1,0,0,0
105,1,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,1,0,0,0
105,0,3,5,5,4,2,0,0,0,0,0,0,0,0,0
105,1,3,5,5,4,2,1,0,0,0,1,1,1,0,0
105,1,3,5,5,7,2,0,0,0,0,0,0,0,0,0
105,0,3,5,5,7,2,1,0,0,0,0,1,0,0,0
105,0,2,5,5,7,2,0,0,0,0,0,0,0,0,0
105,1,2,5,5,7,2,1,26,0,0,1,1,0,0,0
105,1,4,5,8,7,2,0,0,0,0,0,0,0,0,0
105,0,4,5,8,7,2,0,0,0,0,0,1,0,0,0
105,0,4,5,8,7,2,0,0,0,0,0,0,0,0,0
105,1,4,5,8,7,2,1,0,0,0,1,1,1,0,0
105,1,2,5,8,7,7,0,0,0,0,0,0,0,0,0
105,0,2,5,8,7,7,1,0,0,0,0,1,0,0,0
105,0,4,5,8,7,7,0,0,0,0,0,0,0,0,0
105,1,4,5,8,7,7,1,36,0,0,1,1,0,0,0
105,1,1,5,8,7,7,0,0,0,0,0,0,0,0,0
105,0,1,5,8,7,7,1,0,0,0,0,1,0,0,0
105,0,2,7,8,7,7,0,0,0,0,0,0,0,0,0
105,1,2,7,8,7,7,1,0,0,0,1,1,1,0,0
105,1,4,7,5,7,7,0,0,0,0,0,0,0,0,0
105,0,4,7,5,7,7,1,0,0,0,0,1,0,0,0
105,0,1,7,5,7,7,0,0,0,0,0,0,0,0,0
105,1,1,7,5,7,7,1,22,0,0,1,1,0,0,0
105,1,4,3,5,7,7,0,0,0,0,0,0,0,0,0
105,0,4,3,5,7,7,0,0,0,0,0,1,0,0,0
105,0,4,3,5,7,7,0,0,0,0,0,0,0,0,0
105,1,4,3,5,7,7,1,0,0,0,1,1,1,0,0
105,1,1,3,5,7,5,0,0,0,0,0,0,0,0,0
105,0,1,3,5,7,5,1,0,0,0,0,1,0,0,0
105,0,4,7,5,7,5,0,0,0,0,0,0,0,0,0
105,1,4,7,5,7,5,1,47,0,0,1,1,0,0,0
105,1,3,7,5,7,7,0,0,0,0,0,0,0,0,0
105,0,3,7,5,7,7,0,0,0,0,0,1,0,0,0
105,0,3,7,5,7,7,0,0,0,0,0,0,0,0,0
105,1,3,7,5,7,7,0,0,0,0,1,1,1,0,0
105,1,3,7,5,7,7,0,0,0,0,0,0,0,0,0
105,0,3,7,5,7,7,1,0,0,0,0,1,0,0,0
105,0,2,7,5,7,7,0,0,0,0,0,0,0,0,0
105,1,2,7,5,7,7,1,26,0,0,1,1,0,0,0
105,1,1,7,8,7,7,0,0,0,0,0,0,0,0,0
105,0,1,7,8,7,7,0,0,0,0,0,1,0,0,0
105,0,1,7,8,7,7,0,0,0,0,0,0,0,0,0
105,1,1,7,8,7,7,0,0,0,0,1,1,1,0,0
105,1,1,7,8,7,7,0,0,0,0,0,0,0,0,0
105,0,1,7,8,7,7,1,0,0,0,0,1,0,0,0
105,0,4,3,8,7,7,0,0,0,0,0,0,0,0,0
105,1,4,3,8,7,7,1,36,0,0,1,1,0,0,0
105,1,1,3,8,7,2,0,0,0,0,0,0,0,0,0
105,0,1,3,8,7,2,1,0,0,0,0,1,0,0,0
105,0,4,3,8,7,2,0,0,0,0,0,0,0,0,0
105,1,4,3,8,7,2,1,0,0,0,1,1,1,0,0
105,1,2,3,8,7,2,0,0,0,0,0,0,0,0,0
105,0,2,3,8,7,2,1,0,0,0,0,1,0,0,0
105,0,1,3,7,7,2,0,0,0,0,0,0,0,0,0
105,1,1,3,7,7,2,1,1,0,0,1,1,0,0,0
105,1,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,1,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,1,4,3,7,7,2,0,0,0,0,1,1,1,0,0
105,1,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,1,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,1,4,3,7,7,2,0,1,0,0,1,1,0,0,0
105,1,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,1,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,1,4,3,7,7,2,0,0,0,0,1,1,1,0,0
105,1,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,1,0,0,0
105,0,4,3,7,7,2,0,0,0,0,0,0,0,0,0
105,1,4,3,7,7,2,1,26,0,0,1,1,0,0,0
105,1,2,3,7,7,5,0,0,0,0,0,0,0,0,0
105,0,2,3,7,7,5,0,0,0,0,0,0,0,0,0
105,0,2,3,7,7,5,0,0,0,0,0,0,0,0,0
105,1,2,3,7,7,5,1,0,0,0,0,1,0,0,0
105,1,4,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,4,3,8,7,5,1,0,0,0,1,0,0,0,0
105,0,1,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,1,3,8,7,5,0,26,0,0,1,1,1,0,0
105,1,1,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,1,3,8,7,5,1,0,0,0,0,0,0,0,0
105,0,2,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,2,3,8,7,5,1,0,0,0,0,1,0,0,0
105,1,4,3,3,7,5,0,0,0,0,0,0,0,0,0
105,0,4,3,3,7,5,1,0,0,0,1,0,0,0,0
105,0,1,3,3,7,2,0,0,0,0,0,0,0,0,0
105,1,1,3,3,7,2,1,1,0,0,1,1,0,0,0
105,1,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,1,3,2,3,7,2,0,0,0,0,0,1,0,0,0
105,1,3,2,3,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,3,7,2,1,0,0,0,1,0,0,0,0
105,0,2,2,3,7,2,0,0,0,0,0,0,0,0,0
105,1,2,2,3,7,2,1,1,0,0,1,1,1,0,0
105,1,3,2,8,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,8,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,8,7,2,0,0,0,0,0,0,0,0,0
105,1,3,2,8,7,2,0,0,0,0,0,1,0,0,0
105,1,3,2,8,7,2,0,0,0,0,0,0,0,0,0
105,0,3,2,8,7,2,1,0,0,0,1,0,0,0,0
105,0,4,2,8,7,2,0,0,0,0,0,0,0,0,0
105,1,4,2,8,7,2,1,26,0,0,1,1,0,0,0
105,1,1,2,8,7,5,0,0,0,0,0,0,0,0,0
105,0,1,2,8,7,5,0,0,0,0,0,0,0,0,0
105,0,1,2,8,7,5,0,0,0,0,0,0,0,0,0
105,1,1,2,8,7,5,1,0,0,0,0,1,0,0,0
105,1,2,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,2,3,8,7,5,1,0,0,0,1,0,0,0,0
105,0,4,3,8,7,5,0,0,0,0,0,0,0,0,0
105,1,4,3,8,7,5,0,26,0,0,1,1,1,0,0
105,1,4,3,8,7,5,0,0,0,0,0,0,0,0,0
105,0,4,3,8,7,5,1,0,0,0,0,0,0,0,0
105,0,1,3,8,7,7,0,0,0,0,0,0,0,0,0
105,1,1,3,8,7,7,1,0,0,0,0,1,0,0,0
105,1,2,5,8,7,7,0,0,0,0,0,0,0,0,0
105,0,2,5,8,7,7,1,0,0,0,1,0,0,0,0
105,0,4,5,5,7,7,0,0,0,0,0,0,0,0,0
105,1,4,5,5,7,7,1,21,0,0,1,1,0,0,0
105,1,1,5,5,7,5,0,0,0,0,0,0,0,0,0
105,0,1,5,5,7,5,1,0,0,0,0,0,0,0,0
105,0,4,2,5,7,5,0,0,0,0,0,0,0,0,0
105,1,4,2,5,7,5,0,0,0,0,0,1,0,0,0
105,1,4,2,5,7,5,0,0,0,0,0,0,0,0,0
105,0,4,2,5,7,5,1,0,0,0,1,0,0,0,0
105,0,1,2,5,7,2,0,0,0,0,0,0,0,0,0
105,1,1,2,5,7,2,1,21,0,0,1,1,1,0,0
105,1,2,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,2,5,7,2,0,0,0,0,0,0,0,0,0
105,1,2,2,5,7,2,0,0,0,0,0,1,0,0,0
105,1,2,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,2,5,7,2,1,0,0,0,1,0,0,0,0
105,0,4,2,5,7,2,0,0,0,0,0,0,0,0,0
105,1,4,2,5,7,2,1,26,0,0,1,1,0,0,0
105,1,2,2,5,7,2,0,0,0,0,0,0,0,0,0
105,0,2,2,5,7,2,1,0,0,0,0,1,0,0,0
105,0,3,2,7,7,2,0,0,0,0,0,0,0,0,0
105,1,3,2,7,7,2,1,0,0,0,1,1,1,0,0
105,1,4,2,7,7,2,0,0,0,0,0,0,0,0,0
105,0,4,2,7,7,2,1,0,0,0,0,1,0,0,0
105,0,1,2,7,7,4,0,0,0,0,0,0,0,0,0
105,1,1,2,7,7,4,1,36,0,0,1,1,0,0,0
105,1,2,2,7,7,4,0,0,0,0,0,0,0,0,0
105,0,2,2,7,7,4,0,0,0,0,0,1,0,0,0
